"ID","COD_GRUPO","NOTA","CULTURA","LIVROS","TRABALHO"
"728",702,16.6,5,"B","B"
"729",702,42.1,8,"B","B"
"730",702,69.1,5,"C","C"
"731",702,54.6,3,"B","A"
"732",702,59.3,5,"E","A"
"733",702,58.5,7,"B","E"
"734",702,66.8,4,"B","A"
"735",702,46.7,2,"B","A"
"736",702,47.1,2,"C","A"
"737",702,54.8,3,"C","A"
"738",702,30.4,1,"A","A"
"739",702,50.1,5,"A","A"
"740",702,44.3,7,"B","A"
"741",2402,64.7,2,"C","A"
"742",2402,41.3,6,"C","C"
"743",2402,21.4,4,"E","E"
"744",2402,47.8,7,"B","A"
"745",2402,62.9,5,"D","A"
"746",2402,39.1,4,"C","B"
"747",2402,48.1,6,"C","B"
"748",2402,73.4,5,"C","E"
"749",2402,59.2,4,"D","B"
"750",2402,30,5,"C","A"
"751",2402,53,4,"E","A"
"752",2402,46.9,5,"B","A"
"753",2402,35.3,8,"B","B"
"754",2402,48.9,5,"C","A"
"755",2402,69.3,3,"C","D"
"756",2402,49.3,1,"C","B"
"757",2402,44.2,2,"E","A"
"758",2402,37.9,4,"B","A"
"759",2402,65.3,5,"E","C"
"760",2402,75,3,"E","A"
"761",2402,23.6,6,"A","E"
"762",2402,52.6,6,"E","A"
"763",2402,57.2,6,"D","A"
"764",2402,64,4,"C","A"
"765",2402,51.6,6,"C","A"
"766",2402,37.3,4,"B","E"
"767",2402,65.5,4,"B","A"
"768",2402,29.9,6,"D","A"
"769",2402,67.6,2,"E","A"
"770",2402,47.1,6,"E","C"
"771",2402,54.2,6,"B","A"
"772",2402,33,6,"E","E"
"773",2402,65.2,6,"B","B"
"774",2402,27.7,5,"B","A"
"775",2402,15.3,5,"C","E"
"776",2402,41.4,3,"C","D"
"777",2402,31.6,3,"D","C"
"778",2402,55.4,3,"E","E"
"779",2402,30.3,6,"E","E"
