"ID","COD_GRUPO","NOTA","CULTURA","LIVROS","TRABALHO"
637,"Engenharia",49.2,"2","Um ou Dois","Trabalho Eventualmente"
657,"Ciencia da Computação (Bacharelado)",35.7,"2","Um ou Dois","Trabalho de 21 a 31 horas semanais"
658,"Ciencia da Computação (Bacharelado)",29.5,"3","Nenhum","Trabalho ate 20 horas semanais"
660,"Ciencia da Computação (Bacharelado)",61.4,"3","De tres a cinco","Trabalho ate 20 horas semanais"
663,"Ciencia da Computação (Bacharelado)",47.9,"1","Nenhum","Trabalho de 21 a 31 horas semanais"
667,"Ciencia da Computação (Bacharelado)",37.5,"3","De tres a cinco","Trabalho ate 20 horas semanais"
669,"Ciencia da Computação (Bacharelado)",71,"6","Um ou Dois","Trabalho 40 horas semanais ou mais"
670,"Ciencia da Computação (Bacharelado)",49.6,"5","Um ou Dois","Trabalho ate 20 horas semanais"
672,"Ciencia da Computação (Bacharelado)",68.4,"4","De tres a cinco","Trabalho de 21 a 31 horas semanais"
673,"Ciencia da Computação (Bacharelado)",43,"4","Nenhum","Trabalho 40 horas semanais ou mais"
678,"Ciencia da Computação (Bacharelado)",60.6,"3","Mais de oito","Trabalho 40 horas semanais ou mais"
679,"Ciencia da Computação (Bacharelado)",49,"4","Nenhum","Trabalho ate 20 horas semanais"
684,"Ciencia da Computação (Bacharelado)",70.7,"6","Mais de oito","Trabalho Eventualmente"
685,"Ciencia da Computação (Bacharelado)",42.3,"5","De tres a cinco","Trabalho de 21 a 31 horas semanais"
688,"Ciencia da Computação (Bacharelado)",46.1,"3","Um ou Dois","Trabalho ate 20 horas semanais"
689,"Ciencia da Computação (Bacharelado)",43.8,"5","De tres a cinco","Trabalho ate 20 horas semanais"
694,"Ciencia da Computação (Bacharelado)",55.9,"4","Um ou Dois","Trabalho Eventualmente"
696,"Ciencia da Computação (Bacharelado)",50.3,"6","De tres a cinco","Trabalho Eventualmente"
698,"Ciencia da Computação (Bacharelado)",41.7,"3","Um ou Dois","Trabalho de 21 a 31 horas semanais"
702,"Ciencia da Computação (Bacharelado)",56.3,"3","Nenhum","Trabalho Eventualmente"
703,"Ciencia da Computação (Bacharelado)",42.3,"5","Nenhum","Trabalho 40 horas semanais ou mais"
706,"Ciencia da Computação (Bacharelado)",73.3,"6","Nenhum","Trabalho Eventualmente"
709,"Ciencia da Computação (Bacharelado)",53.1,"5","De seis a oito","Trabalho ate 20 horas semanais"
710,"Ciencia da Computação (Bacharelado)",50.4,"1","Nenhum","Trabalho ate 20 horas semanais"
711,"Ciencia da Computação (Bacharelado)",42.4,"2","Um ou Dois","Trabalho 40 horas semanais ou mais"
712,"Ciencia da Computação (Bacharelado)",66.8,"0","Nenhum","Trabalho 40 horas semanais ou mais"
713,"Ciencia da Computação (Bacharelado)",49.9,"2","Mais de oito","Trabalho ate 20 horas semanais"
714,"Ciencia da Computação (Bacharelado)",58,"1","Um ou Dois","Trabalho de 21 a 31 horas semanais"
715,"Ciencia da Computação (Bacharelado)",58.8,"5","Nenhum","Trabalho 40 horas semanais ou mais"
716,"Ciencia da Computação (Bacharelado)",79,"5","De tres a cinco","Trabalho Eventualmente"
718,"Ciencia da Computação (Bacharelado)",88.6,"0","Nenhum","Trabalho Eventualmente"
724,"Matematica (Licenciatura)",39.8,"2","Nenhum","Trabalho ate 20 horas semanais"
728,"Matematica (Licenciatura)",16.6,"5","Um ou Dois","Trabalho Eventualmente"
729,"Matematica (Licenciatura)",42.1,"0","Um ou Dois","Trabalho Eventualmente"
730,"Matematica (Licenciatura)",69.1,"5","De tres a cinco","Trabalho ate 20 horas semanais"
733,"Matematica (Licenciatura)",58.5,"0","Um ou Dois","Trabalho 40 horas semanais ou mais"
742,"Historia (Bacharelado)",41.3,"6","De tres a cinco","Trabalho ate 20 horas semanais"
743,"Historia (Bacharelado)",21.4,"4","Mais de oito","Trabalho 40 horas semanais ou mais"
746,"Historia (Bacharelado)",39.1,"4","De tres a cinco","Trabalho Eventualmente"
747,"Historia (Bacharelado)",48.1,"6","De tres a cinco","Trabalho Eventualmente"
748,"Historia (Bacharelado)",73.4,"5","De tres a cinco","Trabalho 40 horas semanais ou mais"
749,"Historia (Bacharelado)",59.2,"4","De seis a oito","Trabalho Eventualmente"
753,"Historia (Bacharelado)",35.3,"0","Um ou Dois","Trabalho Eventualmente"
755,"Historia (Bacharelado)",69.3,"3","De tres a cinco","Trabalho de 21 a 31 horas semanais"
756,"Historia (Bacharelado)",49.3,"1","De tres a cinco","Trabalho Eventualmente"
759,"Historia (Bacharelado)",65.3,"5","Mais de oito","Trabalho ate 20 horas semanais"
761,"Historia (Bacharelado)",23.6,"6","Nenhum","Trabalho 40 horas semanais ou mais"
766,"Historia (Bacharelado)",37.3,"4","Um ou Dois","Trabalho 40 horas semanais ou mais"
770,"Historia (Bacharelado)",47.1,"6","Mais de oito","Trabalho ate 20 horas semanais"
772,"Historia (Bacharelado)",33,"6","Mais de oito","Trabalho 40 horas semanais ou mais"
773,"Historia (Bacharelado)",65.2,"6","Um ou Dois","Trabalho Eventualmente"
775,"Historia (Bacharelado)",15.3,"5","De tres a cinco","Trabalho 40 horas semanais ou mais"
776,"Historia (Bacharelado)",41.4,"3","De tres a cinco","Trabalho de 21 a 31 horas semanais"
777,"Historia (Bacharelado)",31.6,"3","De seis a oito","Trabalho ate 20 horas semanais"
778,"Historia (Bacharelado)",55.4,"3","Mais de oito","Trabalho 40 horas semanais ou mais"
779,"Historia (Bacharelado)",30.3,"6","Mais de oito","Trabalho 40 horas semanais ou mais"
780,"Historia (Bacharelado)",49.5,"3","De tres a cinco","Trabalho Eventualmente"
781,"Historia (Bacharelado)",45.6,"6","De seis a oito","Trabalho de 21 a 31 horas semanais"
784,"Historia (Bacharelado)",49.2,"4","De tres a cinco","Trabalho de 21 a 31 horas semanais"
785,"Historia (Bacharelado)",34.9,"6","De tres a cinco","Trabalho de 21 a 31 horas semanais"
786,"Historia (Bacharelado)",47.9,"5","Mais de oito","Trabalho ate 20 horas semanais"
791,"Historia (Bacharelado)",51.2,"4","De tres a cinco","Trabalho Eventualmente"
792,"Historia (Bacharelado)",42.2,"4","De tres a cinco","Trabalho ate 20 horas semanais"
801,"Historia (Bacharelado)",66.2,"5","De tres a cinco","Trabalho de 21 a 31 horas semanais"
803,"Historia (Bacharelado)",47,"6","Mais de oito","Trabalho 40 horas semanais ou mais"
806,"Historia (Bacharelado)",48.9,"4","De tres a cinco","Trabalho ate 20 horas semanais"
810,"Historia (Bacharelado)",45.5,"5","De tres a cinco","Trabalho 40 horas semanais ou mais"
812,"Historia (Bacharelado)",29.9,"6","Mais de oito","Trabalho de 21 a 31 horas semanais"
814,"Historia (Bacharelado)",59,"3","Um ou Dois","Trabalho Eventualmente"
817,"Pedagogia (Licenciatura)",55.2,"5","De tres a cinco","Trabalho 40 horas semanais ou mais"
821,"Pedagogia (Licenciatura)",47.4,"4","De tres a cinco","Trabalho ate 20 horas semanais"
822,"Pedagogia (Licenciatura)",37.4,"5","De tres a cinco","Trabalho de 21 a 31 horas semanais"
823,"Pedagogia (Licenciatura)",63.3,"5","Um ou Dois","Trabalho de 21 a 31 horas semanais"
836,"Pedagogia (Licenciatura)",41.2,"5","De tres a cinco","Trabalho ate 20 horas semanais"
840,"Pedagogia (Licenciatura)",64.6,"4","Um ou Dois","Trabalho de 21 a 31 horas semanais"
842,"Pedagogia (Licenciatura)",63.5,"6","Mais de oito","Trabalho ate 20 horas semanais"
847,"Engenharia Florestal",40.8,"3","Um ou Dois","Trabalho Eventualmente"
849,"Engenharia Florestal",55.1,"1","De seis a oito","Trabalho ate 20 horas semanais"
850,"Engenharia Florestal",33.1,"6","Um ou Dois","Trabalho de 21 a 31 horas semanais"
856,"Engenharia Florestal",56.5,"6","Um ou Dois","Trabalho Eventualmente"
857,"Engenharia Florestal",46,"2","De seis a oito","Trabalho Eventualmente"
863,"Engenharia Florestal",50,"6","Um ou Dois","Trabalho Eventualmente"
872,"Engenharia de Producao",28.5,"1","Um ou Dois","Trabalho de 21 a 31 horas semanais"
878,"Engenharia de Producao",53.1,"2","De tres a cinco","Trabalho 40 horas semanais ou mais"
881,"Engenharia de Producao",69.2,"2","De tres a cinco","Trabalho 40 horas semanais ou mais"
910,"Engenharia de Producao",48.4,"4","Um ou Dois","Trabalho de 21 a 31 horas semanais"
911,"Engenharia de Producao",27.8,"2","Um ou Dois","Trabalho de 21 a 31 horas semanais"
916,"Engenharia de Producao",52.5,"6","De tres a cinco","Trabalho 40 horas semanais ou mais"
921,"Ciencias Biologicas (Licenciatura)",49.4,"4","Um ou Dois","Trabalho Eventualmente"
937,"Ciencias Biologicas (Licenciatura)",35.4,"5","Nenhum","Trabalho Eventualmente"
939,"Ciencias Biologicas (Licenciatura)",54,"4","De tres a cinco","Trabalho Eventualmente"
940,"Ciencias Biologicas (Licenciatura)",54.4,"2","De tres a cinco","Trabalho de 21 a 31 horas semanais"
941,"Ciencias Biologicas (Licenciatura)",20,"3","De seis a oito","Trabalho 40 horas semanais ou mais"
943,"Ciencias Biologicas (Licenciatura)",42.8,"1","Um ou Dois","Trabalho de 21 a 31 horas semanais"
944,"Ciencias Biologicas (Licenciatura)",47,"3","Um ou Dois","Trabalho 40 horas semanais ou mais"
947,"Ciencias Biologicas (Licenciatura)",65,"6","De tres a cinco","Trabalho 40 horas semanais ou mais"
958,"Ciencias Biologicas (Licenciatura)",46.8,"4","Um ou Dois","Trabalho de 21 a 31 horas semanais"
966,"Ciencias Biologicas (Licenciatura)",37.4,"6","De tres a cinco","Trabalho 40 horas semanais ou mais"
969,"Ciencias Biologicas (Licenciatura)",40.5,"6","Um ou Dois","Trabalho 40 horas semanais ou mais"
979,"Ciencias Biologicas (Licenciatura)",51.3,"6","Um ou Dois","Trabalho Eventualmente"
982,"Ciencias Biologicas (Licenciatura)",56.8,"5","Mais de oito","Trabalho de 21 a 31 horas semanais"
983,"Ciencias Biologicas (Licenciatura)",53.5,"5","Um ou Dois","Trabalho 40 horas semanais ou mais"
984,"Ciencias Biologicas (Licenciatura)",41.9,"6","Um ou Dois","Trabalho ate 20 horas semanais"
988,"Ciencias Biologicas (Licenciatura)",48.4,"6","Um ou Dois","Trabalho Eventualmente"
989,"Ciencias Biologicas (Licenciatura)",39.7,"5","De seis a oito","Trabalho Eventualmente"
994,"Ciencias Biologicas (Licenciatura)",30.7,"6","Um ou Dois","Trabalho 40 horas semanais ou mais"
995,"Ciencias Biologicas (Licenciatura)",43.4,"6","De seis a oito","Trabalho 40 horas semanais ou mais"
996,"Ciencias Biologicas (Licenciatura)",39.7,"5","De tres a cinco","Trabalho Eventualmente"
997,"Ciencias Biologicas (Licenciatura)",39.6,"6","Nenhum","Trabalho 40 horas semanais ou mais"
998,"Ciencias Biologicas (Licenciatura)",59.4,"4","Um ou Dois","Trabalho de 21 a 31 horas semanais"
999,"Ciencias Biologicas (Licenciatura)",42.3,"6","Nenhum","Trabalho ate 20 horas semanais"
1007,"Ciencias Biologicas (Licenciatura)",43.9,"4","De tres a cinco","Trabalho ate 20 horas semanais"
1009,"Matematica (Licenciatura)",46,"2","Um ou Dois","Trabalho 40 horas semanais ou mais"
1010,"Matematica (Licenciatura)",18.4,"5","Um ou Dois","Trabalho 40 horas semanais ou mais"
1011,"Matematica (Licenciatura)",39.4,"5","Mais de oito","Trabalho de 21 a 31 horas semanais"
1012,"Matematica (Licenciatura)",56.9,"6","De tres a cinco","Trabalho ate 20 horas semanais"
1020,"Quimica (Licenciatura)",32.3,"6","Um ou Dois","Trabalho 40 horas semanais ou mais"
1022,"Quimica (Licenciatura)",43.8,"6","Mais de oito","Trabalho de 21 a 31 horas semanais"
1030,"Quimica (Licenciatura)",39.8,"6","De tres a cinco","Trabalho 40 horas semanais ou mais"
1036,"Quimica (Licenciatura)",38.8,"6","Mais de oito","Trabalho de 21 a 31 horas semanais"
1040,"Quimica (Licenciatura)",37.3,"5","Um ou Dois","Trabalho 40 horas semanais ou mais"
1043,"Quimica (Licenciatura)",43.1,"6","Mais de oito","Trabalho ate 20 horas semanais"
1044,"Fisica (Licenciatura)",48.2,"6","Um ou Dois","Trabalho de 21 a 31 horas semanais"
1045,"Fisica (Licenciatura)",47.5,"6","Mais de oito","Trabalho Eventualmente"
1050,"Fisica (Licenciatura)",29.5,"6","De tres a cinco","Trabalho de 21 a 31 horas semanais"
